filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
_20250227175431_viewcapture37.png,HER2,0.5172,absent,,,,,False,24.0,0.9967470549666436,57.91284936,membrane completeness only; never 0/1+/2+/3+
_20250227175431_viewcapture38.png,HER2,0.5172,absent,,,,,False,73.0,0.9977422900598686,76.50381023999999,membrane completeness only; never 0/1+/2+/3+
_20250227175444_viewcapture33.png,HER2,4.9587,absent,,,,,False,296.0,0.9776789309877548,98.35482276000002,membrane completeness only; never 0/1+/2+/3+
_20250227175444_viewcapture34.png,HER2,0.5405,absent,,,,,False,146.0,0.9963772678129728,81.945340125,membrane completeness only; never 0/1+/2+/3+
_20250227175444_viewcapture35.png,HER2,0.4545,absent,,,,,False,115.0,0.9973218806565448,98.53400925,membrane completeness only; never 0/1+/2+/3+
_20250227175444_viewcapture36.png,HER2,0.381,absent,,,,,False,132.0,0.9974009220096424,99.580446,membrane completeness only; never 0/1+/2+/3+
_20250227175509_viewcapture31.png,HER2,0.4082,adequate,,,,,False,15.0,0.9990782828282828,59.9858064,membrane completeness only; never 0/1+/2+/3+
_20250227175509_viewcapture32.png,HER2,0.2609,adequate,,,,,False,9.0,1.0,70.72349359,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture25.png,HER2,0.6195,absent,,,,,False,21.0,0.9989500442086648,48.740091750000005,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture26.png,HER2,0.2804,absent,,,,,False,12.0,0.9996408045977012,46.89931143999999,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture27.png,HER2,0.2941,absent,,,,,False,15.0,0.9996941896024464,47.13967144999999,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture28.png,HER2,0.2941,absent,,,,,False,15.0,0.9995024875621892,39.61462297999999,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture29.png,HER2,0.3,absent,,,,,False,25.0,0.998628665038665,42.3,membrane completeness only; never 0/1+/2+/3+
_20250227182433_viewcapture30.png,HER2,0.4348,absent,,,,,False,31.0,0.9980396496561332,41.78027984,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture19.png,HER2,0.6667,absent,,,,,False,169.0,0.9975393030501252,42.67093344,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture20.png,HER2,0.3008,absent,,,,,False,45.0,0.9991056126570144,37.36850432,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture21.png,HER2,0.4,absent,,,,,False,102.0,0.9993953778383028,46.000000000000014,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture22.png,HER2,0.297,absent,,,,,False,107.0,0.99855071364952,46.397934,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture23.png,HER2,0.2804,absent,,,,,False,49.0,0.9988349588730596,43.16466383999999,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture24.png,HER2,0.2609,absent,,,,,False,32.0,0.9981025808188886,35.906297275,membrane completeness only; never 0/1+/2+/3+
_20250227182446_viewcapture25.png,HER2,0.2759,absent,,,,,False,22.0,0.9977416659130928,47.19490219999999,membrane completeness only; never 0/1+/2+/3+
_20250227182511_viewcapture16.png,HER2,0.8264,absent,,,,,False,0.0,,,membrane completeness only; never 0/1+/2+/3+
_20250227182511_viewcapture17.png,HER2,0.3175,absent,,,,,False,2.0,0.9951706000093096,29.435425,membrane completeness only; never 0/1+/2+/3+
_20250227182511_viewcapture18.png,HER2,0.3597,absent,,,,,False,2.0,0.9982394366197184,59.12852913,membrane completeness only; never 0/1+/2+/3+
_20250227182524_viewcapture13.png,HER2,0.8264,absent,,,,,False,105.0,0.9982406436176956,47.122650240000006,membrane completeness only; never 0/1+/2+/3+
_20250227182524_viewcapture14.png,HER2,0.6087,absent,,,,,False,45.0,0.9994410774410776,37.42208469,membrane completeness only; never 0/1+/2+/3+
